output_length	domain	context	summary
single	culture	문화, 단문장, 요약 : 화자1]저녁 무렵 도시로 돌아왔다. 009시가 돼야 노을이 지는 이곳의 여름. 사람들도 잠잘 생각이 없어 보인다. 오늘은 해변에서 마라톤 대회가 열리는 날. 쌀쌀한 밤,  준비 운동에는 역시 춤이 최고다. 선물은 일회용 야광 팔찌. 작든 크든 선물은 할아버지도 춤추게 한다. 그렇게 001시간의 열정적인 준비 운동이 끝나고. 밤 10시, 이제 시작이다. 드디어 출발. 파타고니아 각지에서 모이 400명의 사람들이  어우러져 함께 뛴다. 마드린의 여름을 알리는 대회. 사람들은 해변을 따라 8km를 달리며  새로운 계절을 맞이한다. 달리는 사람은 물론 가족들까지 모여  응원 열기가 뜨겁다. 아이와 함께 뛰기도 하고  이렇게 천천히 걸어 들어와도 되는  마드린의 여름 축제. 올해 68살인 할아버지도 8km를 뛰고  가족들과 포옹을 나눈다. 해변 가득 행복한 기운이 넘치는 밤이다.	파타고니아 각지에서 모인 400여 명의 사람들은 마드린의 해변 8km를 함께 달리는 여름 축제를 즐기며 행복해한다.
20per	culture	문화, 이할문장, 요약 : 화자1]저녁 무렵 도시로 돌아왔다. 009시가 돼야 노을이 지는 이곳의 여름. 사람들도 잠잘 생각이 없어 보인다. 오늘은 해변에서 마라톤 대회가 열리는 날. 쌀쌀한 밤,  준비 운동에는 역시 춤이 최고다. 선물은 일회용 야광 팔찌. 작든 크든 선물은 할아버지도 춤추게 한다. 그렇게 001시간의 열정적인 준비 운동이 끝나고. 밤 10시, 이제 시작이다. 드디어 출발. 파타고니아 각지에서 모이 400명의 사람들이  어우러져 함께 뛴다. 마드린의 여름을 알리는 대회. 사람들은 해변을 따라 8km를 달리며  새로운 계절을 맞이한다. 달리는 사람은 물론 가족들까지 모여  응원 열기가 뜨겁다. 아이와 함께 뛰기도 하고  이렇게 천천히 걸어 들어와도 되는  마드린의 여름 축제. 올해 68살인 할아버지도 8km를 뛰고  가족들과 포옹을 나눈다. 해변 가득 행복한 기운이 넘치는 밤이다.	마드린의 해변에서는 마라톤 대회가 열린다. 파타고니아 각지에서 모인 400여 명의 사람들은 밤 10시에, 8km를 함께 달리는 여름 축제를 즐기며 행복해한다.
20per	culture	문화, 이할문장, 요약 : 화자1](해설) 세상에서 제일 힘든 일이 자식 농사라고들 하죠. 천희 씨에게는 금쪽같은 딸이 하나 있습니다. 화자2]일어나, 이제. 화자1](해설) 눈에 넣어도 아프지 않을 만큼 사랑스러운  천희 씨의 딸 용희입니다. 올해로 9살이 됐죠. 화자2]정신 좀 차려. 으샤. 화자1](해설) 홀로 아이를 키운 지 2년. 화자2]여기 앉아. 화자1](해설) 요리는 서툴지만. 딸을 위한 밥상만큼은 자신 있습니다. 화자2]달걀말이, 달걀말이. 화자1](해설) 오늘은 그저 지켜만 보려고 했는데  결국 떠먹여 줍니다. (해설) 등교 시간,  머리도 말리고 예쁜 옷도 골라서 입히려면  마음이 급해지기 때문이죠. 매일 아침. 아빠와 딸은 두 손을 꼭 잡고  마을 어귀까지 함께 걷습니다. 화자3]따라오는 것 같아, 왠지. 다시 들어가네. 화자1](해설) 학교 버스를 타기 위해서죠. 화자4]안녕하세요? 어서 와. 화자3]안녕히 계세요. 화자1](해설) 집에서 겨우 5분 거리. 용희 혼자서도 충분히 갈 수 있는 길이지만. 천희 씨는 늘 딸과 함께 남아서  버스가 보이지 않을 때까지 그 자리에 서있습니다. 딸을 무사히 학교에 보내고 난 뒤에야  일터로 향하는 아빠.	천희에게 올해 9살이 된 딸이 있다. 2년 동안 홀로 아이를 키웠고 딸을 위한 밥상은 자신이있다. 등교 때 머리도 말리고 옷도 골라 입히려면 마음이 급해져 밥을 결국 떠먹여 줬다. 버스 정류장은 딸 혼자도 갈 수 있는 거리지만 늘 함께 간다.
single	culture	문화, 단문장, 요약 : 화자1](해설) 세상에서 제일 힘든 일이 자식 농사라고들 하죠. 천희 씨에게는 금쪽같은 딸이 하나 있습니다. 화자2]일어나, 이제. 화자1](해설) 눈에 넣어도 아프지 않을 만큼 사랑스러운  천희 씨의 딸 용희입니다. 올해로 9살이 됐죠. 화자2]정신 좀 차려. 으샤. 화자1](해설) 홀로 아이를 키운 지 2년. 화자2]여기 앉아. 화자1](해설) 요리는 서툴지만. 딸을 위한 밥상만큼은 자신 있습니다. 화자2]달걀말이, 달걀말이. 화자1](해설) 오늘은 그저 지켜만 보려고 했는데  결국 떠먹여 줍니다. (해설) 등교 시간,  머리도 말리고 예쁜 옷도 골라서 입히려면  마음이 급해지기 때문이죠. 매일 아침. 아빠와 딸은 두 손을 꼭 잡고  마을 어귀까지 함께 걷습니다. 화자3]따라오는 것 같아, 왠지. 다시 들어가네. 화자1](해설) 학교 버스를 타기 위해서죠. 화자4]안녕하세요? 어서 와. 화자3]안녕히 계세요. 화자1](해설) 집에서 겨우 5분 거리. 용희 혼자서도 충분히 갈 수 있는 길이지만. 천희 씨는 늘 딸과 함께 남아서  버스가 보이지 않을 때까지 그 자리에 서있습니다. 딸을 무사히 학교에 보내고 난 뒤에야  일터로 향하는 아빠.	천희에게는 2년 동안 홀로 키운 올해 9살 된 딸이 하나 있다.
single	culture	문화, 단문장, 요약 : 화자1]그런데 영화 촬영하면서 그리고 개봉할 때도 압박이 상당히 심했다.고 알고 있어요. 고발도 많이 당하고요. 화자2]맞아요. 협박도 하고 개봉하면 어떻게 하겠다은 그런 단체도 있었고. 화자1]진짜요? 화자3]태백산맥은 당시에 최고의베스트셀러였고요. 화자2]그렇죠. 화자3]이게 10권짜리인데 제가 지금기억하기로은 그걸 사서 열흘 동안 읽었던 기억이 있어요. 그런데 이거를 멈출 수가 없은 거예요. 1권이 끝나면 2권이 궁금하고 2권이 끝나면3권이 궁금하고. 그런데 이거를 그 당시에 국가보안법으로 고발이 됐고. 화자2]맞아요. 화자3]그것 때문에 재판을 거의 10년 동안 했죠. 결국은 무혐의로 끝났지만. 사실 87년 이후에 저희가 민주화가 됐다고 해도 그만큼 그 당시까지은 이념의 틀이라은 게 강고하게 있었던 것 같아요. 화자4]있었죠. 화자5]제가 조사를 해 보니까. 태백산맥 같은 경우에83년부터 89년까지 거의 거의 6년에가까운 시간 동안 연재가 됐었대요. 단 6개월도 아니고 6년씩이나 이렇게했다.은 것은. 대단하죠. 이 작품에 대한 작가님의 의지와. 화자4]맞아요. 화자5]또 세상의 이야기를 알리고 싶다은 그 강력한 창작자로서의 소명 같은 게 저은느껴졌거든요.	태백산맥은 국가보안법으로 고발이 되기도 했는데 그렇게 이념의 틀이 강했던 시대에 6년간 연재된 것은 대단한 일이다.
20per	culture	문화, 이할문장, 요약 : 화자1]그런데 영화 촬영하면서 그리고 개봉할 때도 압박이 상당히 심했다.고 알고 있어요. 고발도 많이 당하고요. 화자2]맞아요. 협박도 하고 개봉하면 어떻게 하겠다은 그런 단체도 있었고. 화자1]진짜요? 화자3]태백산맥은 당시에 최고의베스트셀러였고요. 화자2]그렇죠. 화자3]이게 10권짜리인데 제가 지금기억하기로은 그걸 사서 열흘 동안 읽었던 기억이 있어요. 그런데 이거를 멈출 수가 없은 거예요. 1권이 끝나면 2권이 궁금하고 2권이 끝나면3권이 궁금하고. 그런데 이거를 그 당시에 국가보안법으로 고발이 됐고. 화자2]맞아요. 화자3]그것 때문에 재판을 거의 10년 동안 했죠. 결국은 무혐의로 끝났지만. 사실 87년 이후에 저희가 민주화가 됐다고 해도 그만큼 그 당시까지은 이념의 틀이라은 게 강고하게 있었던 것 같아요. 화자4]있었죠. 화자5]제가 조사를 해 보니까. 태백산맥 같은 경우에83년부터 89년까지 거의 거의 6년에가까운 시간 동안 연재가 됐었대요. 단 6개월도 아니고 6년씩이나 이렇게했다.은 것은. 대단하죠. 이 작품에 대한 작가님의 의지와. 화자4]맞아요. 화자5]또 세상의 이야기를 알리고 싶다은 그 강력한 창작자로서의 소명 같은 게 저은느껴졌거든요.	영화를 촬영하면서도 개봉할 때도 고발도 많이 당하고 협박도 많이 당했다. 태백산맥은 당시 베스트셀러였지만 국가보안법 문제로 재판을 10년간 해서 무혐의로 끝났다. 이념의 틀이 강했던 시대에 6년간 연재된 것은 대단한 일이다.
single	culture	문화, 단문장, 요약 : 화자1]오늘 그 소설의 배경이 된 역사적 사건이 바로 여순 사건입니다. 대한민국의 오늘을 이해하는 데 굉장히중요한 열쇠라고 이렇게 이야기를 하는데 오늘 굉장히 흥미진진한 이야기, 이주인공들과 함께합니다. 이승만. 많이 보던. 당시 대통령. 그리고 김구 선생님, 백선엽. 당시 군인이었던 그리고. 화자2]장군. 화자1]그리고 이 분 누군지 아시겠어요? 박정희 전 대통령. 화자3]어마어마한 분들이네요. 화자1]과연 이들에게 무슨 일이 있었는지 1948년여수로 가 보겠습니다. 화자4](해설) 1948년 10월 19일 밤. 제주 4.3 사건 진압 출동 명령을 받은 여수의 14연대가 반란을 일으킨다. 경찰과 우익 인사들을 죽이며 005시간 만에 여수를 장악한 군인들은 다음 날 바로순천까지 장악한다. 대한민국 정부 수립 후 어렵사리 창설된 군이 국가를 향해 총부리를 겨눈 것이다. 화자1]군인들이 출병을 거부하고 반란을 일으켰습니다. 무슨 일인가요? 화자5]제주 4.3사건의 진압을 거부한 거였거든요. 진압을 하기 위해서 출동하는 군인들이 우리는 제주에 갈 수 없다. 진압을 할 수 없다고 반란을 일으킨 거죠. 그러니까. 사실은 이 여순을 얘기하려면 4.3을 이해를 해야 하는 부분이 있습니다.	1948년 10월 19일 제주 4·3 사건 진압을 위해 출동한 여수 14연대가 정부에게 반란을 일으켰다.
20per	culture	문화, 이할문장, 요약 : 화자1]오늘 그 소설의 배경이 된 역사적 사건이 바로 여순 사건입니다. 대한민국의 오늘을 이해하는 데 굉장히중요한 열쇠라고 이렇게 이야기를 하는데 오늘 굉장히 흥미진진한 이야기, 이주인공들과 함께합니다. 이승만. 많이 보던. 당시 대통령. 그리고 김구 선생님, 백선엽. 당시 군인이었던 그리고. 화자2]장군. 화자1]그리고 이 분 누군지 아시겠어요? 박정희 전 대통령. 화자3]어마어마한 분들이네요. 화자1]과연 이들에게 무슨 일이 있었는지 1948년여수로 가 보겠습니다. 화자4](해설) 1948년 10월 19일 밤. 제주 4.3 사건 진압 출동 명령을 받은 여수의 14연대가 반란을 일으킨다. 경찰과 우익 인사들을 죽이며 005시간 만에 여수를 장악한 군인들은 다음 날 바로순천까지 장악한다. 대한민국 정부 수립 후 어렵사리 창설된 군이 국가를 향해 총부리를 겨눈 것이다. 화자1]군인들이 출병을 거부하고 반란을 일으켰습니다. 무슨 일인가요? 화자5]제주 4.3사건의 진압을 거부한 거였거든요. 진압을 하기 위해서 출동하는 군인들이 우리는 제주에 갈 수 없다. 진압을 할 수 없다고 반란을 일으킨 거죠. 그러니까. 사실은 이 여순을 얘기하려면 4.3을 이해를 해야 하는 부분이 있습니다.	1948년 10월 19일, 제주 4·3 사건 진압을 명령 받은 여수 14연대가 정부에게 반란을 일으킨 '여순 사건'이 발생했다. 그들은 경찰 등 우익 인사를 살해했고, 단 5시간 만에 여수를 장악했으며 순천까지 장악하기에 이르렀다.
single	culture	문화, 단문장, 요약 : 화자1]혹시 그런 상황이라면 어떤 결정을 하셨을 거 같아요? 화자2]그렇지 않아도 저희 남편하고 한 번 그런 생각을 같이 얘기를 나눠봤어요. 화자3]남편 분께서 군인이라고 저는 들었거든요. 화자2]결혼을 해놓고 군대를 갔어요. 그래서 군인하고 조금 살았죠. 직업이 군인은 아니고. 화자4]지금은 아니시고. 화자2]좀 빨리 결혼을 했어요. 만난 지 4일 만에 프러포즈를 받고 그냥. 화자4]4일 만에요? 화자2]네. 화자1]뭐가 그렇게 급하셨어요? 화자4]뺏길까 봐. 화자2]저는 안 급했어요. 그런데 그분이 급해서 막 몰아치니까. 이름도 못 외우고. 화자4]이름도 못 외우고. 화자2]4일 동안 부를 일이 없잖아요. 그냥. 저기요 이 정도. 맞아요, 그랬는데. 결혼하기로 하고 이름을 물었죠. 누구라고 하더라고요. 화자5]진짜요? 지금 이름은 대충 알고 계시죠? 화자2]이름 알죠. 화자5]이름은 기억하시는 걸로. 화자2]당신 같으면 어떻게 할 거냐고 그랬더니저랑 생각이 같더라고요. 일단 겁이 많으니까. 가긴 가요. 가기는 가는데 군인은 명령을 지켜야하니까. 가는데 같은 우리 국민께는 총을 쏘지 않고 명령은 지키되 우리끼리 국민에게 총을 쏠 수 있느냐. 총을 그냥 내려놓는 거죠, 현장에서.	대화 후에 남편은 군인으로 명령을 이행하려고 갔지만 국민에게 총을 쏠 수 없어 내려놓았다고 했다.
20per	culture	문화, 이할문장, 요약 : 화자1]혹시 그런 상황이라면 어떤 결정을 하셨을 거 같아요? 화자2]그렇지 않아도 저희 남편하고 한 번 그런 생각을 같이 얘기를 나눠봤어요. 화자3]남편 분께서 군인이라고 저는 들었거든요. 화자2]결혼을 해놓고 군대를 갔어요. 그래서 군인하고 조금 살았죠. 직업이 군인은 아니고. 화자4]지금은 아니시고. 화자2]좀 빨리 결혼을 했어요. 만난 지 4일 만에 프러포즈를 받고 그냥. 화자4]4일 만에요? 화자2]네. 화자1]뭐가 그렇게 급하셨어요? 화자4]뺏길까 봐. 화자2]저는 안 급했어요. 그런데 그분이 급해서 막 몰아치니까. 이름도 못 외우고. 화자4]이름도 못 외우고. 화자2]4일 동안 부를 일이 없잖아요. 그냥. 저기요 이 정도. 맞아요, 그랬는데. 결혼하기로 하고 이름을 물었죠. 누구라고 하더라고요. 화자5]진짜요? 지금 이름은 대충 알고 계시죠? 화자2]이름 알죠. 화자5]이름은 기억하시는 걸로. 화자2]당신 같으면 어떻게 할 거냐고 그랬더니저랑 생각이 같더라고요. 일단 겁이 많으니까. 가긴 가요. 가기는 가는데 군인은 명령을 지켜야하니까. 가는데 같은 우리 국민께는 총을 쏘지 않고 명령은 지키되 우리끼리 국민에게 총을 쏠 수 있느냐. 총을 그냥 내려놓는 거죠, 현장에서.	남편과 만난 지 4일 만에 프러포즈 받고 결혼했으며 남편 이름도 모르는데 남편은 군대에 갔다. '당신은 어떻게 할 것인지'를 남편과 대화했는데, 남편은 군인으로 명령 이행을 위해 갔고 현장에서는 국민에게 총을 쏠 수 없으니 총을 내려놓았다고 했다.
